Kategorie;KG;Zusatzinfo;Bauweise;Anmerkungen;verwendbar für frühe Planungsphasen
Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;353;Dachbahn;;;x
Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);353;Dachbahn;;;x
Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;353;Dachbahn;;;x
Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);353;Dachbahn;;;x
Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);353;Dachbahn;;;x
Kunststoffe / Dachbahnen / PVC-Dachbahnen;353;Dachbahn;;;x
Kunststoffe / Dichtmassen / Acrylat;;Dichtung;;;o
Kunststoffe / Dichtmassen / Bitumen;;Dichtung;;;o
Kunststoffe / Dichtmassen / Kautschuk;;Dichtung;;;o
Kunststoffe / Dichtmassen / PUR;;Dichtung;;;o
Kunststoffe / Dichtmassen / PVC;;Dichtung;;;o
Kunststoffe / Dichtmassen / Silikon;;Dichtung;;;o
Kunststoffe / Folien und Vliese / Baupappen;324, 336, 353, 354, 364;Dampfbremse, Rieselschutz, Trennschicht;;;x
Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;324, 336, 364;Dampfbremse;;;x
Kunststoffe / Folien und Vliese / Folien zur Abdichtung;325, 335A, 363;Abdichtung;;?Trennschicht?;x
Kunststoffe / Folien und Vliese / Technische Textilien;;;;"sehr unterschiedlicher Anwendungsbereich (Dach- und Fassadenkonstruktionen bis Sonnenschutztuch; ";
Kunststoffe / Folien und Vliese / Unterspannbahn;363, 335B;Unterspannbahn;;;x
Kunststoffe / Folien und Vliese / Vliese;;;;Glasvlies und PE/PP Vlies -> Putzgewebe?;o
Kunststoffe / Kunststoffprofile elastisch / Harz-Komposit Fassadenplatten;335B;Platten;;falscher Name der 2. UK;x
Kunststoffe / Kunststoffprofile elastisch / Transparente Platten;344, 362;transparent;;falscher Name der 2. UK;x
Kunststoffe / Profile / Kunststoffprofile elastisch;;;;Kleinteile (Rammschutz, Fensterdichtungen etc. → für frühe Phasen ggf. ungeeignet?;o
Kunststoffe / Profile / Kunststoffprofile hart;;;;"Einzelne Datensätze enthalten detailliertere Informationen; sehr heterogen, z.T. auch: KG 400 (Kabelkanal, …)";o
Metalle / Aluminium / Aluminiumbleche;335B, 336, 363, 345, 354, 364;Innenverkleidung, Außenverkleidung;;;x
Metalle / Aluminium / Aluminiumfolie;324, 336, 364;Dampfbremse;;;x
Metalle / Aluminium / Aluminiumprofil;334, 335B, 344, 354, 364, 362;Unterkonstruktion;;;x
Metalle / Aluminium / Gussteile aus Aluminium;;;;KG 400;o
Metalle / Blei / Bleibleche;335B, 363;Verkleidung;;;x
Metalle / Edelstahl / Edelstahlbleche;335B, 363;Verkleidung;;;x
Metalle / Kupfer / Schmiede- und Gussteile aus Kupfer und Messing;;;;KG400;o
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / (Nass-) Lackieren von Metallen;334, 335B, 336, 344, 345, 354, 362, 363, 364;Finish;;nur auf Trägermaterial Metall;x
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Anodisieren von Aluminium;334, 335B, 336, 344, 345, 354, 362, 363, 364;Finish;;nur auf Trägermaterial Metall;x
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Pulverbeschichten;334, 335B, 336, 344, 345, 354, 362, 363, 364;Finish;;nur auf Trägermaterial Metall;x
Metalle / Stahl und Eisen / Betonstahlmatten;322, 331A, 331B, 341, 351, 361;Bewehrung;StB;;x
Metalle / Stahl und Eisen / Guss- und Schmiedeteile aus Stahl und Eisen;;;;KG 400;o
Metalle / Stahl und Eisen / Stahlbleche;335B, 336, 363, 342, 345, 354, 364;Verkleidung;;kann auch für KG 400 verwendet werden;x
Metalle / Stahl und Eisen / Stahlprofile;;;Stahl;"einzelne Datensätze enthalten detailliertere Informationen; sonst: 331B, 341, 351, 361 (tragende Teile-> Träger) 334, 335B, 344, 354, 364, 362 (-> Unterkonstruktion)";x
Metalle / Zink / Zinkbleche;335B, 363;Verkleidung;;;x
Mineralische Baustoffe / Asphalt / Asphaltbinder;;;;;o
Mineralische Baustoffe / Asphalt / Gussassphalt;324,353;Estrich;;;x
Mineralische Baustoffe / Asphalt / Splittmastixasphalt;;;;Straßenbau;o
Mineralische Baustoffe / Asphalt / Tragschichten;;;;Straßenbau;o
Mineralische Baustoffe / Bindemittel / Gips;;;;;o
Mineralische Baustoffe / Bindemittel / Kalk;;;;;o
Mineralische Baustoffe / Bindemittel / Lehm;;;;;o
Mineralische Baustoffe / Bindemittel / Zement;;;;;o
Mineralische Baustoffe / Mörtel und Beton / Beton;;Beton;StB, MW;"im Hochbau werden nicht alle verwendet; manuell z.T. als Ingenieurbau klassifizieren?";x
Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;;Estrich;;;x
Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;Kleber;;sehr heterogen;x
Mineralische Baustoffe / Mörtel und Beton / Mauermörtel;331B,332,341,342;Mörtel;MW;;x
Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;;;;nähere Eingrenzung (innen / außen / Voranstrich) in den Datensätzen;x
Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;331A,331B,341,351,361;komplett;StB, MW;;x
Mineralische Baustoffe / Steine und Elemente / Dachziegel;363;Verkleidung;;nur Steildach;x
Mineralische Baustoffe / Steine und Elemente / Deckenplatten;354, 364;Platten;;;x
Mineralische Baustoffe / Steine und Elemente / Faserzement;335B, 363;Verkleidung;;;x
Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;324,335B,336,345,353;Verkleidung;;;x
Mineralische Baustoffe / Steine und Elemente / Gipsplatten;;;MW;nähere Eingrenzung (tragend / nichttragend) in den Datensätzen;x
Mineralische Baustoffe / Steine und Elemente / Glasbausteine;334, 344;;;DIN 1051-1 (Anhang C) ;x
Mineralische Baustoffe / Steine und Elemente / Kalksandstein;331B,332,341,342;Stein;MW;;x
Mineralische Baustoffe / Steine und Elemente / Kunststein;324, 336, 345, 353;Verkleidung;;;x
