Kategorie;KG;LayerType;Bauweise;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung
Kunststoffe / Dichtmassen / Kautschuk;;Dichtung;;;o;
Kunststoffe / Dichtmassen / PUR;;Dichtung;;;o;
Kunststoffe / Dichtmassen / PVC;;Dichtung;;;o;
Kunststoffe / Dichtmassen / Silikon;;Dichtung;;;o;
Kunststoffe / Folien und Vliese / Baupappen;324, 325, 336, 353, 354, 363, 364;vapour barrier, separating layer;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;324, 336, 363, 364;vapour barrier;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Folien und Vliese / Folien zur Abdichtung;324, 335A, 363;(waterproofing);Holz, Hybrid, MW, StB, Stahl;x;x;separating layer?
Kunststoffe / Folien und Vliese / Technische Textilien;;;Holz, Hybrid, MW, StB, Stahl;x;x;"sehr unterschiedlicher Anwendungsbereich (Dach- und Fassadenkonstruktionen bis Sonnenschutztuch; "
Kunststoffe / Folien und Vliese / Unterspannbahn;363, 335B;(house wrap);Holz, Hybrid, MW, StB, Stahl;x;x;
Kunststoffe / Folien und Vliese / Vliese;;;;;o;Glasvlies und PE/PP Vlies -> Putzgewebe?
Kunststoffe / Kunststoffprofile elastisch / Harz-Komposit Fassadenplatten;335B;boards;Holz, Hybrid, MW, StB, Stahl; ;x;falscher Name der 2. UK
Kunststoffe / Kunststoffprofile elastisch / Transparente Platten;344, 362;transparent-single;Holz, Hybrid, MW, StB, Stahl; ;x;falscher Name der 2. UK
Kunststoffe / Profile / Kunststoffprofile elastisch;;;;;o;Kleinteile (Rammschutz, Fensterdichtungen etc. ? für frühe Phasen ggf. ungeeignet?
Kunststoffe / Profile / Kunststoffprofile hart;;;;;o;"Einzelne Datensätze enthalten detailliertere Informationen; sehr heterogen, z.T. auch: KG 400 (Kabelkanal, …)"
Metalle / Aluminium / Aluminiumbleche;335B, 336, 363, 345, 354, 364;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;
Metalle / Aluminium / Aluminiumfolie;324, 336, 363, 364;vapour barrier;Holz, Hybrid, MW, StB, Stahl; ;x;
Metalle / Aluminium / Aluminiumprofil;334, 335B, 344, 354, 364, 362;(substructure-metal, frame);Holz, Hybrid, MW, StB, Stahl;x;x;
Metalle / Blei / Bleibleche;335B, 363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;
Metalle / Edelstahl / Edelstahlbleche;335B, 363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;
Metalle / Edelstahl / Edelstahlprofile;;;;x;?;neu in Oekobaudat 2021_I
Metalle / Kupfer / Kupferbleche;;;;x;?;neu in Oekobaudat 2021_I
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / (Nass-) Lackieren von Metallen;334, 335B, 336, 344, 345, 354, 362, 363, 364;finish;Holz, Hybrid, MW, StB, Stahl; ;o;nur auf Trägermaterial Metall (vorerst nicht so implementierbar)
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Anodisieren von Aluminium;334, 335B, 336, 344, 345, 354, 362, 363, 364;finish;Holz, Hybrid, MW, StB, Stahl; ;o;nur auf Trägermaterial Metall (vorerst nicht so implementierbar)
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Pulverbeschichten;334, 335B, 336, 344, 345, 354, 362, 363, 364;finish;Holz, Hybrid, MW, StB, Stahl; ;o;nur auf Trägermaterial Metall (vorerst nicht so implementierbar)
Metalle / Stahl und Eisen / Betonstahlmatten;322, 331A, 331B, 341, 351, 361;rebar;StB; ;x;
Metalle / Stahl und Eisen / Stahlbleche;335B, 336, 363, 342, 345, 354, 364;cladding, structure-steel, substructure-metal;Holz, Hybrid, MW, StB, Stahl; ;x;kann auch für KG 400 verwendet werden
Metalle / Stahl und Eisen / Stahlprofile;;;Stahl;x;x;"einzelne Datensätze enthalten detailliertere Informationen; sonst: 331B, 341, 351, 361 (tragende Teile-> Träger) 334, 335B, 344, 354, 364, 362 (-> subconstruction)"
Metalle / Zink / Zinkbleche;335B, 363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Asphalt / Asphaltbinder;;;;;o;
Mineralische Baustoffe / Asphalt / Gussassphalt;324,353;screed;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Asphalt / Splittmastixasphalt;;;;;o;Straßenbau
Mineralische Baustoffe / Asphalt / Tragschichten;;;;;o;Straßenbau
Mineralische Baustoffe / Bindemittel / Gips;;;;;o;
Mineralische Baustoffe / Bindemittel / Kalk;;;;;o;
Mineralische Baustoffe / Bindemittel / Lehm;;;;;o;
Mineralische Baustoffe / Bindemittel / Zement;;;;;o;
Mineralische Baustoffe / Mörtel und Beton / Beton;;(concrete);StB, MW;x;x;"im Hochbau werden nicht alle verwendet; manuell z.T. als Ingenieurbau klassifizieren?"
Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;324, 353;screed;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;(adhesive);Holz, Hybrid, MW, StB, Stahl;x;x;sehr heterogen
Mineralische Baustoffe / Mörtel und Beton / Mauermörtel;331B, 332, 341, 342;mortar;MW; ;x;
Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;;;Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen (innen / außen / Voranstrich)
Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;331A, 331B, 341, 351, 361;(complete wall, complete slab);StB, MW;x;x;
Mineralische Baustoffe / Steine und Elemente / Dachziegel;363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;nur Steildach
Mineralische Baustoffe / Steine und Elemente / Deckenplatten;354, 364;boards;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Steine und Elemente / Faserzement;335B, 363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;324, 335B, 336, 345, 353;(cladding, flooring);Holz, Hybrid, MW, StB, Stahl;x;x;
Mineralische Baustoffe / Steine und Elemente / Gipsplatten;;;MW;x;x;nähere Eingrenzung in den Datensätzen (tragend / nichttragend)
Mineralische Baustoffe / Steine und Elemente / Glasbausteine;334, 344;glass unit;Holz, Hybrid, MW, StB, Stahl; ;x;DIN 1051-1 (Anhang C) 
Mineralische Baustoffe / Steine und Elemente / Kalksandstein;331B, 332, 341, 342;masonry unit;MW; ;x;
