UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Ergänzt;Quelle
e2306538-776d-4bc5-ae3b-1c920fb40285;Blähglas Körnung;Mineralische Baustoffe / Zuschläge / Blähglas;1;kg;Blähglas;;;;;;;;;
dfa64bbb-dc8d-497b-9557-300416b8448f;Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet (m);;;;;;1,43;;;
d61a6f60-bcca-4bf6-a151-bd076b4c3366;Pulverbeschichten von Metallen;Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Pulverbeschichten;1;qm;Pulverbeschichtetes Metall, pro m2;;0,18;;;;;;;
d5fe89f0-5fd2-4981-bb87-e74bbf13ef88;Lacksysteme Holzfenster Grundierung weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;;;;;;;
ccdb5f3c-7305-46c7-ad5b-a05bb922a743;Kunststeinplatte (Epoxidharz gebunden);Mineralische Baustoffe / Steine und Elemente / Kunststein;1;qm;Kunststeinplatte (Epoxidharz gebunden) [m2];;52;;0,02;;;;Schichtdicke;https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ccdb5f3c-7305-46c7-ad5b-a05bb922a743&version=20.19.120&stock=OBD_2021_I&lang=de
c1cacd2c-d98d-4795-84db-b567d25bb1ed;Aluminium-Flügelrahmenprofil, thermisch getrennt, pulverbeschichtet;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Aluminium-Flügelrahmenprofil, thermisch getrennt, pulverbeschichtet (m);;;;;;1,51;;;
c1bc4706-9d3a-4468-8ecb-5a569226d75f;Lacksysteme Holzfassade deckend (Decklacksystem);Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;1;kg;Lacksysteme Holzfassade;;;;;;;;;
c1328d7d-8ad6-4e74-a701-ffab0c542534;Parkettlack transparent;Beschichtungen / Lacke und Lasuren / Parkettlack;1;kg;Parkettlack;;;;;;;;;
bff01a9a-6b09-429f-b7ff-17d84fbef7ec;EVA-Dachbahnen;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);1;qm;EVA-Dachbahn (m2);;2;;;;;;;
bc2f9dde-f2a6-4630-bf7c-0ad3870012ef;Steinzeugfliesen unglasiert;Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;1;qm;Steinzeugfliesen unglasiert (m2);;20;;;;;;;
b342696e-2ebb-4fe1-a71d-f3520db0cee9;Betonfertigteil Wand 12cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Betonfertigteil Wand 12cm (m2);;291,3;;0,12;;;;Schichtdicke;Referenzfluss-Name
b1ea7c10-4471-4485-95bf-7dc0a00025b6;Kraftpapier;Kunststoffe / Folien und Vliese / Baupappen;1;qm;Kraftpapier m2;;0,08;;;;;;;
ab0a0f3c-41f6-4b0a-a12c-f8bd0c8a4a23;Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm);Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;pcs.;Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm) (Stücl);;;;;;;;;
aaf4baca-7530-435b-8736-0bd3bb51e36d;ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies);Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);1;qm;ECB Kunststoff-Dachbahn (mit PES Vlies) [m2];;2,32;;0,002;;;;Schichtdicke;https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=aaf4baca-7530-435b-8736-0bd3bb51e36d&version=20.19.120&stock=OBD_2021_I&lang=de
a60431a7-10aa-4106-bc7c-c6acb01ee9b3;Pfosten/Riegelsystem aus Stahl;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Stahl;1;m;Pfosten-Riegel-System (Stahl);;;;;;;;;
93eac197-0003-41ea-b81f-e517dd3389fb;Metallbeschichtung (wasserbasiert);Metalle / Oberflächenbehandlung und Beschichtung von Metallen / (Nass-) Lackieren von Metallen;1;qm;Metallbeschichtung (wasserbasiert) (m2);;0,29;;;;;;;
9357b7fc-cf0a-45fc-8299-e794e3889a40;Betonfertigteil Decke 20cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Betonfertigteil Decke 20cm (m2);;504;;0,2;;;;Schichtdicke;Referenzfluss-Name
91ea177a-e65a-4fe2-ac2d-2f378a03e168;Flügelrahmen PVC-U;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / PVC;1;m;Flügelrahmen PVC-U (m);;;;;;3,1;;;
900336a3-b5f9-4c40-91a9-f9551f84ac64;PE-HD mit PP-Vlies zur Abdichtung;Kunststoffe / Folien und Vliese / Folien zur Abdichtung;1;qm;PE-HD mit PP-Vlies zur Abdichtung m2;;1,3;;;;;;;
8de12467-96a0-459e-9f97-90e95fb7b23f;Naturbims Körnung;Mineralische Baustoffe / Zuschläge / Bims;1;kg;Bimskies;;;;;;;;;
8d6eba49-1c20-444a-8b34-0b6b47379618;Pfosten/Riegelsystem aus Aluminium mit Dreifachverglasung Fassade;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;qm;Aluminium-Pfosten-Riegelfassaden;;16,5;;;;;;;
8b3ee4e2-c086-41dc-bd07-e9e853f9da8b;Aluminium-Rahmenprofil, pulverbeschichtet;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;1;m;Aluminium-Rahmenprofil, pulverbeschichtet (m);;;;;;1,02;;;
85c41389-d62e-4dff-a819-896b35367cbc;Voranstrich (Silikat-Dispersion);Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;1;kg;Putz (Silikat-Dispersion);;;;;;;;;
859897ae-5ea2-4b55-9508-49297dd6ba6c;Parkettlack (Grundierung Holz, wasserverdünnt);Beschichtungen / Lacke und Lasuren / Parkettlack;1;kg;Parkettlack;;;;;;;;;
82c7e263-3026-45f8-aec7-ebdf818464e4;Perlite 0-1;Mineralische Baustoffe / Zuschläge / Perlite;1;kg;Perlite (0/1);;;;;;;;;
826fa2c2-c691-4844-83d3-aea0e8a54bcd;Dachziegel;Mineralische Baustoffe / Steine und Elemente / Dachziegel;1;qm;Dachziegel (m2);;45;;;;;;;
815fb8f6-04cc-494d-ab6b-1b6eae98bfca;Fassadenfarbe Silikonharzfarbe;Beschichtungen / Fassadenfarben / Silikonharz;1;kg;Fasadenfarbe;;;;;;;;;
7baed44c-c80b-4340-b3af-f01d71fbbb43;Kalkfarbe;Beschichtungen / Innenbeschichtungen / Innenfarben;1;kg;Kalkfarbe (Innenbereich, wasserbasiert);;0,2;;;;;;;
79075297-4dc0-42c6-bc90-e3bf9fa0fb4c;Natursteinplatte, weich, Fassade;Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Natursteinplatte, weich, Fassade (m2);;104;;;;;;;
785d5ac4-c69d-4e00-941e-26433c1d023d;Aluminiumfolie (d=0,1 mm);Metalle / Aluminium / Aluminiumfolie;1;qm;Aluminiumfolie [m2];;0,28;;0,0001;;;;Schichtdicke;Name
7502766c-df2f-4f8d-8d45-17bb6938eac8;Splitt 2/15 (getrocknet);Mineralische Baustoffe / Zuschläge / Naturstein;1;kg;Splitt (2/15);;;;;;;;;
66990642-726e-4483-abc3-d5d0b4d7a5e7;Aluminium-Flügelrahmenprofil, pulverbeschichtet;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;1;m;Aluminium-Flügelrahmenprofil, pulverbeschichtet (m);;;;;;0,98;;;
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / PVC;1;m;Blendrahmen PVC-U (m);;;;;;2,8;;;
5662c927-cd47-46e5-b753-925db31b9870;Sonnenschutztuch;Kunststoffe / Folien und Vliese / Technische Textilien;1;qm;Textil-Sonnenschutz;;0,4;;;;;;;
50c9e674-afd9-456c-9440-6506bec6d55b;Feuerverzinktes Stahlblech;Metalle / Stahl und Eisen / Stahlbleche;1;qm;Stahl (feuerverzinkt);;5,72;;;;;;;
4bb6f0f6-178c-41e0-8700-bd597f23ccb8;Dampfbremse PA;Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;1;qm;Dampfbremse PA;;0,08;;;;;;;
44c57da1-24ce-488d-b4f9-283fa603cc9d;Perlite 0-3;Mineralische Baustoffe / Zuschläge / Perlite;1;kg;Perlite (0/3);;;;;;;;;
4127e60a-3c42-4076-83f5-5232b4ed642e;Holz-Blendrahmen;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Holz;1;m;Holzfensterrahmen;;;;;;2,11;;;
35be6146-5a80-4a9e-a32d-5d05c03a8d5c;Innenfarbe Dispersionsfarbe scheuerfest;Beschichtungen / Innenbeschichtungen / Innenfarben;1;kg;Dispersionsfarbe (scheuerfest);;;;;;;;;
318f08e0-1b04-49eb-ab16-531482cd75da;Holz-Flügelrahmen;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Holz;1;m;Flügelrahmen;;;;;;2,11;;;
2e5ca27a-fcd0-4dc1-b0ab-4a4c7eb4e030;Lacksysteme Holzfenster Decklack weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;;;;;;;
26ad7410-7fcb-42e8-b622-d1ba2edbf10c;Splitt 2/15;Mineralische Baustoffe / Zuschläge / Naturstein;1;kg;Splitt (2/15);;;;;;;;;
207cde6a-73be-4ffb-972d-30d3d8619fc3;Gipskartonplatte (Lochplatte);Mineralische Baustoffe / Steine und Elemente / Gipsplatten;1;qm;Gipskartonplatte (Lochplatte) [m2];;8,5;;;;;;;
206deb33-2710-417d-9b92-aa70c7958334;Baumwolle konventionell;Dämmstoffe / Baumwolle / Baumwolle konventionell;1;kg;Baumwolle, Rohfaser (umfasst Körner und Fasern);;;;;;;;;
1d2945e3-856e-4c5f-9894-e75bafad3a76;Pfosten/Riegelsystem aus Aluminium;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Pfosten-Riegel-System (Aluminium);;;;;;5,7;;;
1a4a4522-7297-4ae5-a430-689e89ec2159;Lacksysteme Holzfassade halb-pigmentiert (Lasursystem);Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;1;kg;Lacksysteme Holzfassade;;;;;;;;;
118d1b5e-5f22-4d04-8711-c4b02de02209;Metalllack (lösemittelbasiert);Metalle / Oberflächenbehandlung und Beschichtung von Metallen / (Nass-) Lackieren von Metallen;1;qm;Metalllack (lösemittelbasiert) (m2);;0,21;;;;;;;
08138b62-1b5f-497a-bf9a-d7f857a2e575;Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;;;;;;;
061f0d5b-61f4-476d-9f2e-96f6a6df7786;Baumwolle ökologisch;Dämmstoffe / Baumwolle / Baumwolle ökologisch;1;kg;Baumwollfaser (entkörnt);;;;;;;;;
02f2750e-eec2-492a-9f05-b9600593b6c5;Fassadenfarbe Silikat-Dispersionsfarbe;Beschichtungen / Fassadenfarben / Silikat-Dispersion;1;kg;Farbe (Silikat-Dispersionsfarbe);;;;;;;;;
ff9336ea-fb7f-4299-8a40-5e9a28538c85;Bitumenbahnen PYE PV 200 S5 (ungeschiefert) (Dicke 0,004 m);Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;1;qm;Bitumenbahnen PYE PV 200 S5 (ungeschiefert) (m2);;5,21;;0,004;;;;Schichtdicke;Name
ef0d9cbc-4e89-4e78-8cb2-68f02a49b87d;Natursteinplatte, weich, Innenboden (Dicke 0,020 m);Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Natursteinplatte, weich, Innenboden (m2);;52;;0,02;;;;Schichtdicke;Name
e9be7506-62ce-45b8-853f-c45c3f82401f;Marmorplatte (Dicke 0,02 m);Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Marmorplatte [m2];;52;;0,02;;;;Schichtdicke;Name
e8db532f-ee15-42a4-89c3-5ef789e1fb8f;Natursteinplatte, hart, Innenboden (Dicke 0,02 m);Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Natursteinplatte, hart, Innenboden (m2);;52;;0,02;;;;Schichtdicke;Name
def9e058-ac16-489e-9457-db7645404194;Mineralfaser Deckenplatten (Dicke 0,015 m);Mineralische Baustoffe / Steine und Elemente / Deckenplatten;1;qm;Mineralfaser Deckenplatten [m2];;2,4;;0,015;;;;Schichtdicke;Name
deb7fe73-3eb8-4f80-937b-7ce3a0a977ed;Unterspannbahn PP (Dicke 0,00015 m);Kunststoffe / Folien und Vliese / Unterspannbahn;1;qm;Unterspannbahn PP m2;;0,15;;0,00015;;;;Schichtdicke;Name
da72684f-471c-425b-817d-69f262323f04;Gipskartonplatte (Feuerschutz)(Dicke 0,0125 m);Mineralische Baustoffe / Steine und Elemente / Gipsplatten;1;qm;Gipskartonplatte (Feuerschutz) [m2];;10;;0,0125;;;;Schichtdicke;Name
da4b704a-c901-414f-943f-8e1ff0f4566c;Natursteinplatte, hart, Außenbereich (Dicke 0,08 m);Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Natursteinplatte, hart, Außenbereich (m2);;208;;0,08;;;;Schichtdicke;Name
d56bd904-09a0-4d30-bdbe-5d4f892cc12b;Bitumenbahnen PYE-PV 200 S5 ns (geschiefert) (Dicke 0,004 m);Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;1;qm;Bitumenbahnen PYE-PV 200 S5 ns (geschiefert) (m2);;6,2;;0,004;;;;Schichtdicke;Name
cb3f4a56-460c-4a3e-ae43-3e0a9dcb4319;Natursteinplatte, hart, Fassade (Dicke 0,030 m);Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;1;qm;Natursteinplatte, hart, Fassade (m2);;78;;0,03;;;;Schichtdicke;Name
bc50a404-ddf0-4f37-b62f-95130786b004;Dampfbremse PET gitterverstärkt (Dicke 0,0001 m);Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;1;qm;Dampfbremse PET m2;;0,12;;0,0001;;;;Schichtdicke;Name
b4a0e610-e038-47d3-b86e-cef013cd7c83;Steinzeugfliesen glasiert (Dicke 0,01 m);Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;1;qm;Steinzeugfliesen glasiert (m2);;20;;0,01;;;;Schichtdicke;Name
ab574186-139f-4816-b7c1-d457b1258c7d;Trockenestrich (Gipskartonplatte) (Dicke 0,025 m);Mineralische Baustoffe / Steine und Elemente / Trockenestrich;1;qm;Trockenestrich (Gipskartonplatte) [m2];;20,07;;0,025;;;;Schichtdicke;Name
a9a79b38-dc2c-4b51-a3cc-cf9fa0d299e7;Trockenestrich (Gipsfaserplatte) (Dicke 0,025 m);Mineralische Baustoffe / Steine und Elemente / Trockenestrich;1;qm;Trockenestrich (Gipsfaserplatte) [m2];;24,07;;0,025;;;;Schichtdicke;Name
a92bd5a5-7cef-4050-8659-20a8d5a7a72b;Unterspannbahn PUR auf PET-Vlies (Dicke 0,0005 m);Kunststoffe / Folien und Vliese / Unterspannbahn;1;qm;Unterspannbahn PUR auf PET-Vlies m2;;0,2;;0,0005;;;;Schichtdicke;Name
99792cbc-c5f4-4d2d-bc9e-3790509891a0;Dampfbremse PE (Dicke 0,0002 m);Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;1;qm;Dampfbremse PE (m2);;0,2;;0,0002;;;;Schichtdicke;Name
9049a94f-a527-4d87-a4b9-5a3a56f5ea19;Schiefer (Dicke 0,011 m);Mineralische Baustoffe / Steine und Elemente / Schiefer;1;qm;Schiefer m2;;30;;0,011;;;;Schichtdicke;Name
8a37ac61-585c-43a8-9773-10fce30096e4;Folie für Gründach (Dicke 0,001 m);Kunststoffe / Folien und Vliese / Unterspannbahn;1;qm;Kunststofffolie (unspezifisch) m2;;1,13;;0,001;;;;Schichtdicke;Name
73d1c1b7-d509-44c8-8518-848babdd7c01;Bitumenbahnen V 60 (Dicke 0,005 m);Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;1;qm;Bitumenbahn V 60 m2;;5;;0,005;;;;Schichtdicke;Name
6d535792-4351-4d7d-97c6-6d2c3624f3e0;Gipsfaserplatte (Dicke 0,01 m);Mineralische Baustoffe / Steine und Elemente / Gipsplatten;1;qm;Gipsfaserplatte (m2);;10;;0,01;;;;Schichtdicke;Name
6aff7a60-d7cd-430e-8b15-02556b6f62ff;Lehmbauplatte (Dicke 0,02 m);Mineralische Baustoffe / Steine und Elemente / Lehmsteine;1;qm;Lehmbauplatte [m2];;14;;0,02;;;;Schichtdicke;Name
66a90b47-27b8-46ce-830e-8ed22f4165d8;Unterspannbahn PE gewebeverstärkt (Dicke 0,00015 m);Kunststoffe / Folien und Vliese / Unterspannbahn;1;qm;Unterspannbahn PE gewebeverstärkt m2;;0,14;;0,00015;;;;Schichtdicke;Name
64da45fc-f415-4875-8a4e-7c23fe7a7aa9;Bitumenbahnen G 200 S4 (Dicke 0,004 m);Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;1;qm;Bitumenbahn G 200 S4;;5;;0,004;;;;Schichtdicke;Name
4f4e989b-bd5e-4d85-9a50-53f3c61eea70;PVC-Dachbahnen (Dicke 0,0012 m);Kunststoffe / Dachbahnen / PVC-Dachbahnen;1;qm;PVC-Dachbahn (m2);;1,5;;0,0012;;;;Schichtdicke;Name
49b4cbe9-ac63-4811-a1c7-dd7278db8ac0;PE-Noppenfolie zur Abdichtung (Dicke 0,00125 m);Kunststoffe / Folien und Vliese / Folien zur Abdichtung;1;qm;PE-Noppenfolie m2;;1,2;;0,00125;;;;Schichtdicke;Name
38a8d707-0c7f-4d91-a3db-9b5b2c9bb147;Gipswandbauplatte (Dicke 0,1 m);Mineralische Baustoffe / Steine und Elemente / Gipsplatten;1;qm;Gipswandbauplatte (m2);;84;;0,1;;;;Schichtdicke;Name
341e2e42-dab2-427b-86f6-a80c701b6071;Dachbahnen EPDM (Dicke 0,0015 m);Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;1;qm;Dachbahn EPDM (m2);;2;;0,0015;;;;Schichtdicke;Name
07423e99-8c7c-4e93-8311-dcf7ae85c41d;Gipskartonplatte (imprägniert) (Dicke 0,0125 m);Mineralische Baustoffe / Steine und Elemente / Gipsplatten;1;qm;Gipskartonplatte (imprägniert) [m2];;10;;0,0125;;;;Schichtdicke;Name
7e083808-ffcb-4c0c-9d52-11c42c2c48e9;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW75;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW75;;;;;;0,86;;;
00402f5e-4a5b-48a5-b1e2-cbd4fddffbe7;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW100;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW100;;;;;;0,96;;;
7065f9ef-8969-4723-b311-c65042481dd1;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW125;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW125;;;;;;1,08;;;
313eef35-fd80-4d4a-b8ab-96762d075cf6;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW150;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW150;;;;;;1,2;;;
26730864-4f60-4274-9d38-5e0b0f0e234f;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW50;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil verzinkt CW50;;;;;;0,72;;;
199ca92f-b191-4b77-8140-2b3816bffbfc;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW50;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW50;;;;;;0,716;;;
25b83cc5-12f5-4c46-a5ec-1ba9c07b237e;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW75;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW75;;;;;;0,86;;;
63f9442f-4701-42e7-8166-df509288cd88;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW150;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW150;;;;;;1,195;;;
d8139749-44f9-4658-8528-5547d78a499a;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW125;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW125;;;;;;1,075;;;
38fe1c7e-9dd1-4b42-bad4-3a9d3f743e2f;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW100;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Wandprofil korrosionsgeschützt CW100;;;;;;0,955;;;
b6a0db91-964d-452a-832d-5a26887f63d1;Profil - König GmbH & Co. KG - Deckenprofil verzinkt Hutdecke 98;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil verzinkt Hutdecke 98;;;;;;0,61;;;
fbf50d71-abb0-4567-be08-4311c679973b;Profil - König GmbH & Co. KG - Deckenprofil verzinkt UD28/48;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil verzinkt UD28/48;;;;;;0,48;;;
7f8a6a50-c844-40f8-808b-0e6a14fe7ce0;Profil - König GmbH & Co. KG - Deckenprofil verzinkt CD60/27;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil verzinkt CD60/27;;;;;;0,59;;;
2b008167-5610-4561-86fc-4a1976048366;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt Hutdecke 98;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt Hutdecke 98;;;;;;0,61;;;
5da65ba4-67ca-4db3-bfa1-9ccafe5f30da;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt UD28/48;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt UD28/48;;;;;;0,48;;;
0571d36b-4912-4e3b-b538-00818c3d52ec;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt CD60/27;Metalle / Stahl und Eisen / Stahlprofile;1;m;Profil - König GmbH & Co. KG - Deckenprofil korrosionsgeschützt CD60/27;;;;;;0,59;;;
b6762ea6-ca6f-4039-ae9d-8e1f0a146632;Tor - Hörmann Legnica Sp. z o.o - Kipptor ET 500;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Hörmann Legnica Sp. z o.o - Kipptor ET 500;;36,1;;;;;;;
ffbf8bee-1796-4c5c-a815-41a1a8307de6;Tor - Hörmann Legnica Sp. z o.o - Schwingtor N 500;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Hörmann Legnica Sp. z o.o - Schwingtor N 500;;28,3;;;;;;;
ef35288f-66e7-4a7b-8f35-1a0a2edb5fef;Tür - Hörmann Legnica Sp. z o.o - Nebentür NT 500;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tür - Hörmann Legnica Sp. z o.o - Nebentür NT 500;;21,6;;;;;;;
d9184cba-f3ad-4ff0-9c71-90cc6e21fcb8;Tor - Hörmann Legnica Sp. z o.o - Sammelgaragentor ST 500;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Hörmann Legnica Sp. z o.o - Sammelgaragentor ST 500;;29;;;;;;;
2383b727-ea29-4030-991b-5179e784338b;Tor - Hörmann Legnica Sp. z o.o - Sporthallentor SP 500;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Hörmann Legnica Sp. z o.o - Sporthallentor SP 500;;28;;;;;;;
857ec105-07bd-4942-8b6a-4ecb6522f00d;Rahmenprofile für Fassaden - HUECK System GmbH & Co. KG - Trigon 60;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Fassaden - HUECK System GmbH & Co. KG - Trigon 60;;;;;;5,25;;;
fb529c2b-fd76-4645-91ee-e38b3cc234fb;Rahmenprofile für Fassaden - HUECK System GmbH & Co. KG - Trigon 50;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Fassaden - HUECK System GmbH & Co. KG - Trigon 50;;;;;;4,99;;;
4d22a515-cfcc-4bcb-bbf9-a6e647bed9ab;Tür - Hörmann KG Eckelhausen - Haustür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tür - Hörmann KG Eckelhausen - Haustür;;47;;;;;;;
8526239b-fa75-4b15-b4d5-790f1a15bba6;Tür - Hörmann KG Eckelhausen - Rauchschutztür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tür - Hörmann KG Eckelhausen - Rauchschutztür;;41;;;;;;;
b9c08cf4-c6ad-4f12-bd5a-524c5a10ef51;Tür - Hörmann KG Eckelhausen - Feuerschutztür T30;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tür - Hörmann KG Eckelhausen - Feuerschutztür T30;;55;;;;;;;
34a3f341-4af5-4ad4-9e17-6ff9b0713dfc;Tür - Hörmann KG Eckelhausen - Feuerschutztür T90;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tür - Hörmann KG Eckelhausen - Feuerschutztür T90;;101;;;;;;;
81f26749-0b39-4eb5-9015-bbebae3c7413;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Spiraltor SST Alu;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Spiraltor SST Alu;;88,54;;;6,3;;;;
52db1ee8-72c2-4c45-97bd-21b9501c59be;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Spiraltor SST Stahl;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Spiraltor SST Stahl;;83,4;;;14,3;;;;
4064c6df-dcc8-4a4f-9a67-207dd38398b2;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Turbotor STT;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf-Turbotor STT;;85,08;;;15,2;;;;
