UUID;Version;Name;Kategorie;Konformität;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
b9563958-aee1-402b-8920-cf07024011c7;00.00.019;Spanplatte - melaminbeschichtet (Durchschnitt DE);Holz / Holzwerkstoffe / Spanplatten;EN 15804;representative dataset;1;m3;5581bb28-60b4-40bd-9ba0-e646d6f5de54;Spanplatte, melaminbeschichtet;;;633,29;;;;;true;true;false;true
0edfee35-a09c-4494-bdfc-bba1edb0855f;00.00.019;Spanplatte, roh (Durchschnitt DE);Holz / Holzwerkstoffe / Spanplatten;EN 15804;representative dataset;1;m3;a0bd27cf-ab84-48b0-89e2-a18ba09d1902;Spanplatte, roh (7% Feuchte);;;633,31;;;;;true;true;false;true
e7d523b7-36d9-4066-89ee-40a2c276dd8f;00.00.019;Hochdichte Faserplatte (Durchschnitt DE);Holz / Holzwerkstoffe / Holzfaserplatten;EN 15804;representative dataset;1;m3;489c5610-fe77-451b-a82e-daba698ef22b;HDF (849,9 kg/m³);;;849,92;;;;;true;true;false;true
773510f2-67d7-49a0-89de-3533a6a42844;00.00.019;Mitteldichte Faserplatte (Durchschnitt DE);Holz / Holzwerkstoffe / Holzfaserplatten;EN 15804;representative dataset;1;m3;db80b824-b32d-439d-a020-da031f802805;MDF (737,5 kg/m³);;;737,5;;;;;true;true;false;true
a3662e98-9dc9-412f-9603-47f653f3db7f;00.04.000;Beton der Druckfestigkeitsklasse C 45/55;Mineralische Baustoffe / Mörtel und Beton / Beton;DIN EN 15804 / ISO 14025;average dataset;1;m3;f337437f-0074-8b0a-edd5-7c15c5baec54;1 m³ Konstruktionsbeton C 45/55;;470;2400;0,2;;;2400;true;true;false;true
2b2d1f3f-ab92-449d-8a2e-cd7e85818406;00.03.000;Beton der Druckfestigkeitsklasse C 50/60;Mineralische Baustoffe / Mörtel und Beton / Beton;DIN EN 15804 / ISO 14025;average dataset;1;m3;4d4c8c94-6f01-6099-ee6c-a39d72ed9785;1 m³ Konstruktionsbeton C 50/60;;470;2400;0,2;;;2400;true;true;false;true
729f5569-d276-441d-a01b-96be25881b25;00.01.000;noracare®;Kunststoffe / Bodenbeläge / Synth. Thermoplast / Polyolefin;DIN EN 15804 / ISO 14025;specific dataset;1;m3;b29da71c-58d2-2e97-8492-4c1a907b7b72;noracare®;;3,61;1,83;0,002;;;;true;true;false;true
10159881-88fb-4ca6-9cc3-73bd00e640cd;00.05.000;Pulastic Multifunctional Sports Floor;Komposite / Systembauteile / Decken;DIN EN 15804 / ISO 14025;specific dataset;1;m3;405d4a23-2d80-35e9-2db5-d244428ba2a2;Pulastic Multifunctional Sports Floor;;0,01725;;0,0055;;;;true;true;false;true
54731578-8a09-443b-bc07-371147109759;00.09.000;EGGER Laminatfussboden;Holz / Holzböden / Laminat;DIN EN 15804 / ISO 14025;average dataset;1;m3;d8da549a-43ef-8961-fad2-c21c3d924f3e;Laminat-Fussboden (6,93 kg/m²);;6,93;920;0,008;;;;true;true;false;true
b6ff9b71-9de4-434b-ae37-b36aca1dc83e;00.03.000;Clima Comfort;Dämmstoffe / Phenolharz-Hartschaum (PF) / PF-Platten;DIN EN 15804 / ISO 14025;average dataset;1;m3;c5306815-89db-e30f-cb8c-a51b98866cec;1 m², 100mm Dicke;;0,16;40;0,1;;;;true;true;false;true
1a24808b-9116-422e-93fb-d435f74a038a;00.05.000;KNAUF GYPSUM PLASTERBOARDS Type A, Type H, Type DF, Type DFH2 and type DFH2IR;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;DIN EN 15804 / ISO 14025;average dataset;1;m3;4227d9ec-b476-478f-1b22-590635e53ebe;1 m2;;8,31;893,5;0,012;;;;true;false;false;false
8f764a39-2539-4510-8c0a-ab5d67fbb59b;00.08.000;Laminat-Fußbodenbeläge;Holz / Holzböden / Laminat;DIN EN 15804 / ISO 14025;average dataset;1;m3;b893f907-0f10-6f8c-9cde-9a29af232a05;Laminat-Fußbodenbeläge;;7,45;875;0,008;;;;true;true;false;true
f7cced34-3863-4f25-97b6-a6e2a6b97de5;00.03.000;Gypsum fibreboards;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;DIN EN 15804 / ISO 14025;average dataset;1;m3;f48156ff-2dd5-3618-d503-7e60a5328bff;Gypsum fibreboards /1 square meter of gypsum fibre board with a declared thickness of 12.5 mm and density of 1175kg/m³/;;16,66;1175;0,0125;;;;true;false;false;false
